Player,School,season
Ochai Agbaji,Kansas,2022
Kofi Cockburn,Illinois,2022
Johnny Davis,Wisconsin,2022
Keegan Murray,Iowa,2022
Oscar Tshiebwe,Kentucky,2022
Bennedict Mathurin,Arizona,2022
Chet Holmgren,Gonzaga,2022
Drew Timme,Gonzaga,2022
Jabari Smith Jr.,Auburn,2022
Jaden Ivey,Purdue,2022
Paolo Banchero,Duke,2022
James Akinjo,Baylor,2022
Collin Gillespie,Villanova,2022
E.J. Liddell,Ohio St.,2022
Walker Kessler,Auburn,2022
JD Notae,Arkansas,2022
Johnny Juzang,UCLA,2022
Ayo Dosunmu,Illinois,2021
Cade Cunningham,Oklahoma St.,2021
Corey Kispert,Gonzaga,2021
Jared Butler,Baylor,2021
Luka Garza,Iowa,2021
Drew Timme,Gonzaga,2021
Evan Mobley,USC,2021
Hunter Dickinson,Michigan,2021
Jalen Suggs,Gonzaga,2021
Kofi Cockburn,Illinois,2021
Quentin Grimes,Houston,2021
Trayce Jackson-Davis,Indiana,2021
Davion Mitchell,Baylor,2021
Chris Duarte,Oregon,2021
Collin Gillespie,Villanova,2021
Herbert Jones,Alabama,2021
Jeremiah Robinson-Earl,Villanova,2021
Charles Bassey,Western Kentucky,2021
Cameron Krutwig,Loyola Chicago,2021
Luka Garza,Iowa,2020
Markus Howard,Marquette,2020
Myles Powell,Seton Hall,2020
Obi Toppin,Dayton,2020
Payton Pritchard,Oregon,2020
Cassius Winston,Michigan St.,2020
Devon Dotson,Kansas,2020
Malachi Flynn,San Diego St.,2020
Udoka Azubuike,Kansas,2020
Vernon Carey Jr.,Duke,2020
Filip Petrusev,Gonzaga,2020
Jared Butler,Baylor,2020
Jordan Nwora,Louisville,2020
Jalen Smith,Maryland,2020
Tre Jones,Duke,2020
Daniel Oturu,Minnesota,2020
Grant Williams,Tennessee,2019
RJ Barrett,Duke,2019
Rui Hachimura,Gonzaga,2019
Ja Morant,Murray St.,2019
Zion Williamson,Duke,2019
Carsen Edwards,Purdue,2019
Cassius Winston,Michigan St.,2019
Ethan Happ,Wisconsin,2019
Jarrett Culver,Texas Tech,2019
Markus Howard,Marquette,2019
De'Andre Hunter,Virginia,2019
Dedric Lawson,Kansas,2019
P.J. Washington,Kentucky,2019
Kyle Guy,Virginia,2019
Brandon Clarke,Gonzaga,2019
Mike Daum,South Dakota St.,2019
Chris Clemons,Campbell,2019
Deandre Ayton,Arizona,2018
Devonte' Graham,Kansas,2018
Jalen Brunson,Villanova,2018
Marvin Bagley III,Duke,2018
Trae Young,Oklahoma,2018
Jevon Carter,West Virginia,2018
Jock Landale,Saint Mary's,2018
Keenan Evans,Texas Tech,2018
Keita Bates-Diop,Ohio St.,2018
Miles Bridges,Michigan St.,2018
Trevon Bluiett,Xavier,2018
Carsen Edwards,Purdue,2018
Mikal Bridges,Villanova,2018
Kyle Guy,Virginia,2018
Luke Maye,North Carolina,2018
Joel Berry II,North Carolina,2018
Aaron Holiday,UCLA,2018
Caleb Swanigan,Purdue,2017
Frank Mason III,Kansas,2017
Josh Hart,Villanova,2017
Justin Jackson,North Carolina,2017
Lonzo Ball,UCLA,2017
Dillon Brooks,Oregon,2017
Johnathan Motley,Baylor,2017
Luke Kennard,Duke,2017
Malik Monk,Kentucky,2017
Nigel Williams-Goss,Gonzaga,2017
Josh Jackson,Kansas,2017
Markelle Fultz,Washington,2017
Ethan Happ,Wisconsin,2017
Lauri Markkanen,Arizona,2017
Bonzie Colson,Notre Dame,2017
Jawun Evans,Oklahoma St.,2017
Alec Peters,Valparaiso,2017
Ben Simmons,LSU,2016
Brice Johnson,North Carolina,2016
Buddy Hield,Oklahoma,2016
Denzel Valentine,Michigan St.,2016
Malcolm Brogdon,Virginia,2016
Tyler Ulis,Kentucky,2016
Georges Niang,Iowa St.,2016
Jakob Poeltl,Utah,2016
Jarrod Uthoff,Iowa,2016
Kris Dunn,Providence,2016
Perry Ellis,Kansas,2016
Grayson Allen,Duke,2016
Yogi Ferrell,Indiana,2016
Kay Felder,Oakland,2016
Dillon Brooks,Oregon,2016
Josh Hart,Villanova,2016
Jamal Murray,Kentucky,2016
D'Angelo Russell,Ohio St.,2015
Frank Kaminsky,Wisconsin,2015
Jahlil Okafor,Duke,2015
Jerian Grant,Notre Dame,2015
Willie Cauley-Stein,Kentucky,2015
Bobby Portis,Arkansas,2015
Delon Wright,Utah,2015
Karl-Anthony Towns,Kentucky,2015
Kyle Wiltjer,Gonzaga,2015
Malcolm Brogdon,Virginia,2015
Seth Tuttle,Northern Iowa,2015
Kevin Pangos,Gonzaga,2015
Rakeem Christmas,Syracuse,2015
Quinn Cook,Duke,2015
Buddy Hield,Oklahoma,2015
Darrun Hilliard,Villanova,2015
Georges Niang,Iowa St.,2015
Melo Trimble,Maryland,2015
Justin Anderson,Virginia,2015
Stanley Johnson,Arizona,2015
Joe Young,Oregon,2015
Doug McDermott,Creighton,2014
Jabari Parker,Duke,2014
Nick Johnson,Arizona,2014
Russ Smith,Louisville,2014
Shabazz Napier,Connecticut,2014
Andrew Wiggins,Kansas,2014
C.J. Fair,Syracuse,2014
Cleanthony Early,Wichita St.,2014
Nik Stauskas,Michigan,2014
Sean Kilpatrick,Cincinnati,2014
T.J. Warren,N.C. State,2014
Melvin Ejim,Iowa St.,2014
Scottie Wilbekin,Florida,2014
Kyle Anderson,UCLA,2014
Marcus Paige,North Carolina,2014
Julius Randle,Kentucky,2014
Fred VanVleet,Wichita St.,2014
Aaron Gordon,Arizona,2014
DeAndre Kane,Iowa St.,2014
Marcus Smart,Oklahoma St.,2014
Doug McDermott,Creighton,2013
Kelly Olynyk,Gonzaga,2013
Otto Porter Jr.,Georgetown,2013
Trey Burke,Michigan,2013
Victor Oladipo,Indiana,2013
Ben McLemore,Kansas,2013
Cody Zeller,Indiana,2013
Jeff Withey,Kansas,2013
Marcus Smart,Oklahoma St.,2013
Mason Plumlee,Duke,2013
Shane Larkin,Miami FL,2013
Deshaun Thomas,Ohio St.,2013
Russ Smith,Louisville,2013
Allen Crabbe,California,2013
Seth Curry,Duke,2013
Shabazz Muhammad,UCLA,2013
Nate Wolters,South Dakota St.,2013
Erick Green,Virginia Tech,2013
Anthony Davis,Kentucky,2012
Doug McDermott,Creighton,2012
Draymond Green,Michigan St.,2012
Jared Sullinger,Ohio St.,2012
Thomas Robinson,Kansas,2012
Isaiah Canaan,Murray St.,2012
Kevin Jones,West Virginia,2012
Marcus Denmon,Missouri,2012
Michael Kidd-Gilchrist,Kentucky,2012
Tyler Zeller,North Carolina,2012
Jae Crowder,Marquette,2012
Harrison Barnes,North Carolina,2012
John Jenkins,Vanderbilt,2012
Kris Joseph,Syracuse,2012
Damian Lillard,Weber St.,2012
Tyshawn Taylor,Kansas,2012
Kendall Marshall,North Carolina,2012
Austin Rivers,Duke,2012
Mike Scott,Virginia,2012
JaJuan Johnson,Purdue,2011
Jared Sullinger,Ohio St.,2011
Jimmer Fredette,BYU,2011
Kemba Walker,Connecticut,2011
Nolan Smith,Duke,2011
Ben Hansbrough,Notre Dame,2011
Derrick Williams,Arizona,2011
Jordan Hamilton,Texas,2011
Jordan Taylor,Wisconsin,2011
Kawhi Leonard,San Diego St.,2011
Kenneth Faried,Morehead St.,2011
Marcus Morris Sr.,Kansas,2011
Jacob Pullen,Kansas St.,2011
Tu Holloway,Xavier,2011
Kyle Singler,Duke,2011
MarShon Brooks,Providence,2011
Charles Jenkins,Hofstra,2011
E'Twaun Moore,Purdue,2011